2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
60293,Judbury,949,2,924,2,979,3,927,3,414,TAS
60294,Kamona,987,4,971,5,1014,5,933,3,9,TAS
60295,Kaoota,1037,7,1006,7,1031,6,1010,7,229,TAS
60296,Karanja,897,1,874,1,984,3,863,1,31,TAS
60297,Karoola,1020,6,970,5,1052,7,937,3,349,TAS
60298,Kayena,1003,5,965,4,1005,4,958,4,221,TAS
60299,Kellevie,1011,5,971,5,1015,5,973,5,185,TAS
60300,Kelso (Tas.),990,4,947,3,967,3,967,5,182,TAS
60301,Kempton,927,2,886,1,984,3,872,1,420,TAS
60302,Kettering,1036,7,1013,7,1035,6,1045,9,943,TAS
60303,Killiecrankie,985,4,958,4,971,3,981,6,30,TAS
60304,Kimberley (Tas.),966,3,960,4,980,3,995,6,124,TAS
60305,Kindred,1030,6,981,5,1036,6,950,4,214,TAS
60306,Kings Meadows,949,2,933,3,935,2,942,4,4359,TAS
60307,Kingston (Tas.),1001,5,988,6,969,3,1011,7,12288,TAS
60308,Kingston Beach,1054,8,1041,8,995,4,1068,9,2305,TAS
60309,Koonya,902,1,886,1,932,2,915,2,138,TAS
60310,Lachlan,984,4,939,3,1027,6,927,3,953,TAS
60311,Lackrana,986,4,959,4,954,2,986,6,55,TAS
60312,Lady Barron,986,4,959,4,954,2,986,6,173,TAS
60313,Lake Leake,989,4,975,5,987,3,1018,7,59,TAS
60316,Lake St Clair,891,1,868,1,905,1,863,1,9,TAS
60317,Lalla,1020,6,970,5,1052,7,937,3,86,TAS
60318,Lanena,1022,6,1013,7,1009,5,1040,8,343,TAS
60319,Lapoinya,907,1,928,3,962,2,987,6,143,TAS
60320,Latrobe,934,2,893,2,952,2,869,1,5030,TAS
60321,Lauderdale,1070,9,1038,8,1055,7,1028,8,2592,TAS
60322,Launceston,1002,5,1008,7,904,1,1047,9,3110,TAS
60323,Lawitta,963,3,886,1,996,4,801,1,226,TAS
60324,Lebrina,992,4,937,3,1028,6,904,2,221,TAS
60325,Leeka,985,4,958,4,971,3,981,6,13,TAS
60326,Lefroy,914,2,889,1,954,2,894,2,82,TAS
60327,Legana,1034,7,991,6,1032,6,971,5,4719,TAS
60328,Legerwood,931,2,909,2,949,2,877,1,204,TAS
60329,Leith,1053,8,1013,7,1062,8,995,6,504,TAS
60330,Lemont,972,3,968,4,1030,6,978,5,26,TAS
60331,Lenah Valley,1050,8,1044,9,999,4,1075,9,6522,TAS
60332,Leslie Vale,1045,7,1027,8,1067,8,1023,8,392,TAS
60333,Levendale,954,3,927,3,1011,5,939,3,129,TAS
60334,Lewisham (Tas.),1038,7,973,5,1037,6,946,4,799,TAS
60336,Liena,955,3,932,3,995,4,904,2,31,TAS
60337,Lietinna,928,2,886,1,993,4,895,2,55,TAS
60338,Liffey,975,3,942,3,999,4,940,4,164,TAS
60339,Lileah,914,2,894,2,1002,4,896,2,79,TAS
60340,Lillico (Tas.),1034,7,1005,7,1040,6,1005,7,24,TAS
60341,Lilydale (Tas.),969,3,937,3,971,3,950,4,659,TAS
60342,Lindisfarne,1032,7,1018,7,991,4,1027,8,6639,TAS
60344,Little Pine Lagoon,891,1,868,1,905,1,863,1,0,TAS
60345,Little Swanport,932,2,918,2,984,3,913,2,148,TAS
60346,Loccota,986,4,959,4,954,2,986,6,31,TAS
60347,Loira,1008,5,956,4,1024,5,917,3,158,TAS
60348,London Lakes,891,1,868,1,905,1,863,1,10,TAS
60350,Longford (Tas.),943,2,911,2,951,2,901,2,4268,TAS
60351,Longley,1085,10,1051,9,1075,8,1075,9,241,TAS
60352,Lonnavale,995,4,967,4,990,4,909,2,116,TAS
60353,Loongana,878,1,882,1,941,2,942,4,16,TAS
60354,Loorana,1036,7,1001,6,1034,6,989,6,140,TAS
60355,Lorinna,934,2,914,2,927,1,957,4,81,TAS
60356,Lottah,898,1,874,1,973,3,903,2,16,TAS
60357,Low Head,954,3,933,3,948,2,957,4,619,TAS
60358,Lower Barrington,1003,5,962,4,1042,7,929,3,278,TAS
60359,Lower Beulah,1011,5,983,5,1018,5,977,5,41,TAS
60360,Lower Longley,1061,8,1037,8,1077,9,1031,8,267,TAS
60361,Lower Marshes,950,2,914,2,987,3,891,2,30,TAS
60362,Lower Snug,1040,7,1015,7,1051,7,1042,8,460,TAS
60363,Lower Turners Marsh,1024,6,969,4,1045,7,924,3,28,TAS
60364,Lower Wattle Grove,1048,8,1030,8,1056,7,1053,9,102,TAS
60365,Lower Wilmot,910,2,884,1,954,2,867,1,136,TAS
60366,Loyetea,968,3,948,3,1009,5,961,5,20,TAS
60367,Lucaston,1071,9,1042,9,1069,8,1063,9,422,TAS
60368,Lughrata,985,4,958,4,971,3,981,6,14,TAS
60370,Lulworth,987,4,944,3,986,3,937,3,157,TAS
60371,Lunawanna,944,2,927,2,936,2,947,4,144,TAS
60372,Lune River,875,1,870,1,914,1,924,3,38,TAS
60373,Lutana,949,2,931,3,917,1,945,4,2616,TAS
60374,Lymington,1033,7,1006,7,1017,5,1053,9,319,TAS
60375,Lymwood,985,4,948,3,960,2,937,3,105,TAS
60377,Macquarie Plains,956,3,916,2,1007,4,877,1,53,TAS
60378,Magra,958,3,902,2,1022,5,845,1,759,TAS
60379,Malbina,1037,7,973,5,1026,6,909,2,77,TAS
60380,Mangalore (Tas.),1017,6,952,4,1056,7,858,1,435,TAS
60381,Mangana,835,1,848,1,913,1,900,2,38,TAS
60382,Margate (Tas.),1063,9,1024,8,1052,7,1023,8,4239,TAS
60384,Marion Bay (Tas.),1011,5,964,4,995,4,994,6,56,TAS
60385,Marrawah,980,4,962,4,986,3,959,5,152,TAS
60386,Mathinna,835,1,848,1,913,1,900,2,131,TAS
60387,Mawbanna,986,4,963,4,991,4,997,6,84,TAS
60388,Mayberry,955,3,932,3,995,4,904,2,18,TAS
60389,Maydena,781,1,797,1,855,1,808,1,198,TAS
60390,Mayfield (Tas.),741,1,751,1,789,1,748,1,1525,TAS
60391,Meadowbank (Tas.),906,1,896,2,954,2,921,3,13,TAS
60392,Meander,952,2,933,3,1006,4,952,4,337,TAS
